"Year","Date","Day","Item","Checked Out","Checked In","TimeBin"
2023," Sep 21","Thu","MBB"," 10:50P"," 11:43P","10PM-12AM"
2023," Sep 22","Fri","MBB"," 4:38P"," 5:13P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 7:41P"," 8:34P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 9:16P"," 10:00P","8PM-10PM"
2023," Sep 24","Sun","MBB"," 2:25P"," 4:06P","2PM-4PM"
2023," Sep 24","Sun","MBB"," 5:17P"," 6:36P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 6:41P"," 7:22P","6PM-8PM"
2023," Sep 17","Sun","MBB"," 7:13P"," 8:04P","6PM-8PM"
2023," Sep 17","Sun","MBB"," 8:23P"," 9:43P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 3:24P"," 3:46P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 4:00P"," 6:08P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 6:38P"," 8:20P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 9:13P"," 9:45P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 4:13P"," 5:14P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 5:52P"," 6:59P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 9:30P"," 10:10P","8PM-10PM"
2023," Sep 20","Wed","MBB"," 12:52P"," 2:25P","12PM-2PM"
2023," Sep 20","Wed","MBB"," 4:59P"," 6:00P","4PM-6PM"
2023," Sep 20","Wed","MBB"," 7:17P"," 9:56P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 1:22P"," 1:44P","12PM-2PM"
2023," Sep 21","Thu","MBB"," 2:06P"," 2:33P","2PM-4PM"
2023," Sep 21","Thu","MBB"," 4:57P"," 5:04P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 2:43P"," 4:04P","2PM-4PM"
2023," Sep 22","Fri","MBB"," 4:17P"," 4:21P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 4:26P"," 4:53P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 5:35P"," 6:29P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 6:30P"," 6:33P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 7:03P"," 8:27P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 9:16P"," 10:00P","8PM-10PM"
2023," Sep 23","Sat","MBB"," 12:06P"," 12:31P","12PM-2PM"
2023," Sep 23","Sat","MBB"," 1:45P"," 2:17P","12PM-2PM"
2023," Sep 23","Sat","MBB"," 2:30P"," 2:54P","2PM-4PM"
2023," Sep 23","Sat","MBB"," 3:17P"," 4:11P","2PM-4PM"
