Equipment History Detail,,,,
Parameters,,,,
"Sun, Sep 17, 2023 12:00 AM to Sun, Sep 24, 2023 11:59 PM",,,,
Categories: Recreational Equipment,,,,
Customer,"Checked Out
(User)",Due Date,"Checked In
(User)",Overdue
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 1:45P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 2:17P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 2:30P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 2:54P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 3:17P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 4:11P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 5:17P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 6:36P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 8:52P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:09P",
,EMAIL,,EMAIL,
Item: MBB-04,,,,
NAME,"Sun, Sep 17, 2023 6:00P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 7:11P",
,EMAIL,,EMAIL,
NAME,"Fri, Sep 22, 2023 3:37P","Fri, Sep 22, 2023 11:59P","Sun, Sep 24, 2023 12:37P",2 day(s)
,(equipment),,EMAIL,
Item: MBB-05,,,,
NAME,"Sun, Sep 17, 2023 5:09P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 6:14P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 7:22P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:48P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 10:28A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:25A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 2:56P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:27P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:09P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:37P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:55P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:16P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 7:27P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:52P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:13P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:45P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:49P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:17P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:35P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:49P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:49P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:55P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 11:40A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 12:22P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:15P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:10P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:20P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:26P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:30P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:10P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 1:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 2:50P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 3:02P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 3:44P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 7:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:10P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 8:10P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:00P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 10:37P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 11:50P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 4:58P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:04P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:24P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:27P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:30P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:52P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:52P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:55P",
,(equipment),,(equipment),
